epoch,lr,loss,content,structure,ssim,rmi,intensity,grad,aux,sec
1,0.001,6.225822230480758,2.059816222762221,2.034319029473826,2.008585159512085,1.9136527116131525,0.14616351114906753,0.025733875372416122,9.736795099840423,199.44237995147705
2,0.0008,4.596397046339363,1.8048228432986944,1.3503021525832462,1.3358782025622458,1.7491434447914544,0.055679398507239956,0.01442394969742914,9.096990009088891,198.74169182777405
3,0.00064,4.24340938576059,1.7883818725996001,1.1822336890546217,1.168216599978709,1.7341944986858444,0.05418737391375703,0.014017088946484006,9.056013729637122,198.82987713813782
4,0.0005120000000000001,4.160982943358032,1.775512216524069,1.1475392205477482,1.1338556709606482,1.7214998908613888,0.054012325662680626,0.013683548720491616,9.039228762024479,198.91246938705444
5,0.0004096000000000001,4.063502823185743,1.7723882430631972,1.1003982572397077,1.08715710178963,1.719196090019129,0.05319215304406748,0.013241154749475396,9.031806758523347,198.88005948066711
6,0.0003276800000000001,4.002231306712391,1.7716354065895392,1.0701351805035801,1.0570411329182974,1.7188109705525625,0.052824436036976806,0.013094047880717455,9.032554110731603,198.94184589385986
