epoch,loss,loss_content,loss_structure,loss_ssim_gfp,loss_ssim_pci,loss_RMI_gfp,loss_RMI_pci,loss_intensity_gfp,loss_intensity_pci,loss_grad
1.0,1.855547149561679,1.855547149561679,4.862252953972505,0.8419989660868178,3.9974973555816256,0.6253216646078986,1.1314194895746268,0.0414418408523172,0.15617014981259633,0.02275663704963138
2.0,1.7871223022406997,1.7871223022406997,4.690467967643686,0.8234001120390452,3.848494782719923,0.6238782531155999,1.0792068455743336,0.028464405440457124,0.13961000171864568,0.018573068271254434
3.0,1.7639100160512504,1.7639100160512504,4.608311217796543,0.8099144656130153,3.780752454924843,0.6215718279936044,1.0610403614508763,0.02580410948481269,0.13679154374479802,0.017644293584010522
4.0,1.7516448554921453,1.7516448554921453,4.543138868167349,0.8031135084107518,3.7231007912560647,0.6203932623353997,1.0512737362249795,0.024470147956827018,0.13548556590204774,0.01692456609199998
5.0,1.744107201436094,1.744107201436094,4.526819911372402,0.7981148801743985,3.7118342704747036,0.6201977823292242,1.0441564161601091,0.02417696518915245,0.13532904064885098,0.01687076104015274
6.0,1.7361001593373433,1.7361001593373433,4.490361998262613,0.7894615934918756,3.6845044525421184,0.6186114397515057,1.0385279670455096,0.023079524342535043,0.1348419807598238,0.0163959525219347
7.0,1.7309725783842091,1.7309725783842091,4.4754338907806765,0.7860045325011015,3.6733170571858467,0.6180203749616995,1.0345380899706251,0.022094590444359474,0.1347336364927722,0.01611230311442025
8.0,1.7262528946741134,1.7262528946741134,4.442228466952624,0.7846287648315015,3.641717013781485,0.6186495002187266,1.0295479108932577,0.02200012555584418,0.13411084156124042,0.015882688202343516
9.0,1.7204039238289366,1.7204039238289366,4.463556041374154,0.786148507407178,3.661763743473136,0.6173679185539137,1.024722875810185,0.021910220459856487,0.13471603856280284,0.015643788503644906
10.0,1.7164151464550834,1.7164151464550834,4.439080139638289,0.7801956999399092,3.643640029883903,0.6161655203724156,1.0226618770052769,0.020642492624345164,0.13453300549096994,0.015244408208451679
