epoch,lr,loss,content,structure,ssim,rmi,intensity,grad,aux,sec
1,0.001,2.1647619173160897,1.9016105300211457,0.08569588060427576,0.04892449411331798,1.8990791210741653,0.002531408946980479,0.03677138654995558,9.17596282930216,298.7108314037323
2,0.0008,2.0784660922300646,1.8495839106328227,0.06910810269538993,0.034081750056322885,1.8473976739193871,0.002186236713435585,0.035026352605354014,9.066597837848002,298.1591396331787
3,0.00064,2.047689685338966,1.8317845522435705,0.06275892006247381,0.02863492820057934,1.8298054345425296,0.0019791177010408086,0.03412399190122635,9.038729509437067,298.32826590538025
4,0.0005120000000000001,2.025402523588635,1.809629978704961,0.0627427427533615,0.028927248257857103,1.8074304702817197,0.00219950842324133,0.0338154945095515,9.028706146401337,298.52272152900696
5,0.0004096000000000001,2.0075639960458047,1.7980550352685694,0.05964697259415059,0.026425992741304284,1.7961921823203155,0.0018628529482538675,0.03322097988936876,9.021501761216383,298.4415452480316
6,0.0003276800000000001,1.997348059245844,1.7916274601400277,0.05778186636812547,0.024795101239131048,1.7897402728263778,0.0018871873136498119,0.03298676513461326,9.01568683635775,298.74974489212036
7,0.0002621440000000001,1.9964292079743455,1.7890728256331634,0.05861770373742415,0.02563826207122112,1.7871766792442771,0.0018961463888863392,0.032979441604395796,9.012097703925086,298.65470790863037
8,0.00020971520000000012,1.9800580818601685,1.7767764759489664,0.056582996062653455,0.02367309072977817,1.7748724641840974,0.0019040117648691445,0.03290990543120497,9.01156159799383,298.8207628726959
9,0.0001677721600000001,1.9815108113029472,1.775798427125261,0.057814548022449466,0.025038369101097142,1.7737188919934581,0.0020795351318027514,0.03277617890730523,9.008329014612718,298.8357102870941
10,0.00013421772800000008,1.966922659946132,1.7649913610657553,0.05593439704017941,0.023362459100749158,1.7630048833968965,0.001986477668858927,0.03257193793381141,9.006250684976937,298.97388672828674
11,0.00010737418240000007,1.9729982538844877,1.7714298366165224,0.05575987803124644,0.02312544918707593,1.7695115176804121,0.001918318936110335,0.0326344288132669,9.004866315228906,299.0765552520752
12,8.589934592000007e-05,1.964767075061621,1.76225927404482,0.056231294490318315,0.023481511692116163,1.7603414411950038,0.001917832849816269,0.032749782772917374,9.004521405894652,299.09139227867126
13,6.871947673600006e-05,1.9581221649593494,1.7565342781274713,0.055778855494424406,0.023109831151919127,1.754568264493915,0.0019660136335565206,0.0326690243734089,9.003017793773346,299.31899762153625
14,5.497558138880005e-05,1.9615059968281248,1.7588681703015294,0.05630723090328243,0.023743678002335906,1.7569435015568773,0.0019246687446520727,0.03256355290937478,9.002336691947004,299.44270420074463
15,4.3980465111040044e-05,1.9618906924682693,1.7571567251142342,0.05735652127372014,0.024540311880241153,1.7552099121359954,0.0019468129782387524,0.03281620934010002,9.002092690849016,299.3214545249939
16,3.5184372088832036e-05,1.9512745657087451,1.748907231358858,0.05617538344277965,0.02352464037243597,1.7469865112620926,0.001920720096765336,0.032650743002917614,9.001656950868632,299.8270220756531
17,2.814749767106563e-05,1.9524493187077743,1.7506666935392128,0.055884946410180394,0.023345458561478696,1.7487998024320248,0.0018668911071879814,0.03253948787117705,9.001273435704848,299.1033761501312
18,2.2517998136852506e-05,1.9540978112098488,1.7516193086404241,0.056233207272368496,0.023550726169914143,1.7496201384501975,0.00199917019022661,0.03268248109683552,9.001209020255018,299.18499970436096
19,1.8014398509482006e-05,1.955836991040022,1.75458809799492,0.05561866876451498,0.02309403807868785,1.7526952663353121,0.0018928316596078618,0.03252463072515901,9.001155766966116,299.13447523117065
20,1.4411518807585605e-05,1.9596427897705595,1.7547135844077228,0.057459472590105025,0.024767676090223217,1.7526687003594543,0.002044884048268511,0.03269179643526516,9.00102622404717,299.3454041481018
