epoch,loss,loss_gfp_pc,loss_irvis,loss_medical,quota_gfp_pc,quota_irvis,quota_medical
1,2.5069946401759826,2.2930858991883287,2.12774555713124,3.0932566919190796,3894,3249,3468
2,2.391049702268839,2.157013096890021,2.0663479118217913,2.9549903749315742,3894,3249,3468
3,2.3650739251633235,2.144834324727002,2.044466716499777,2.9112270403561915,3894,3249,3468
4,2.3410262231649006,2.128695173346739,2.0176161707763227,2.8813789372117484,3894,3249,3468
5,2.3335404206960386,2.134178414805583,2.0058331652434553,2.8635291157604663,3894,3249,3468
6,2.335552656720957,2.127747362770623,2.0312459039988187,2.853267924795749,3894,3249,3468
7,2.393432318849086,2.144547215083825,2.0291133350942996,2.839308823234333,3540,3249,4624
8,2.3778151031418373,2.1339958107331727,2.030389201023153,2.8148073901280326,3658,3249,4624
9,2.3670931407481706,2.1210016617809435,2.012238006837042,2.8104594669768033,3658,3249,4624
10,2.359616236257578,2.1247372648781706,2.0001406368327856,2.7974704181589156,3658,3249,4624
11,2.3596291655198938,2.1247747310342366,1.9971896317293762,2.799696281100116,3658,3249,4624
12,2.3629300305938252,2.1295683586475773,2.0173480576442104,2.7901055968046276,3658,3249,4624
13,2.362308051999892,2.1228467510451803,2.0216032796828034,2.791062251903745,3658,3249,4624
14,2.3586723303211734,2.1284133218166303,2.0208071687550744,2.7776808386019325,3658,3249,4624
15,2.352389703454958,2.1188497194382,2.005776198736411,2.780258836312587,3658,3249,4624
16,2.347093508276683,2.1162477537886693,1.9952796350231514,2.7770316622725844,3658,3249,4624
17,2.3432064741818306,2.0951773354074392,2.001231968381922,2.7791770594976706,3658,3249,4624
18,2.3479388587889156,2.1178702399637186,1.9886063673411956,2.7762681728017755,3540,3249,4624
19,2.349280632365218,2.1216102775086805,1.993583226773982,2.778939941480427,3658,3249,4624
20,2.3470688303174705,2.1235390831004035,1.9909576913866993,2.7737165319923625,3658,3249,4624
