epoch,lr,loss,content,structure,ssim,rmi,intensity,grad,aux,sec
1,0.0002,2.1416017958615057,1.8870278664305433,0.06714398294613866,0.051307896968766385,1.8801075302617791,0.00692033616876404,0.015836085894791952,12.028596631411848,194.18767595291138
2,0.00017,2.0696006698005607,1.8575066454446385,0.04597472747228122,0.03026341687282318,1.8532118454765532,0.004294799968085293,0.015711310764618694,12.01445722579956,189.96736526489258
3,0.00014450000000000002,2.0702489254625855,1.873073299026034,0.03853050606059177,0.023658489065217267,1.869849600722818,0.003223698303215848,0.014872016977023315,12.011461701886407,189.7720024585724
4,0.00012282500000000002,2.0438263058565442,1.8490080547004566,0.037359300537466125,0.022538027446258244,1.8461494480485179,0.0028586066519386212,0.014821273180669899,12.009965281181147,189.9766139984131
5,0.00010440125000000001,2.05393407102699,1.8609647945260233,0.0364430247865654,0.021754460675375804,1.858136059894125,0.0028287346318984644,0.014688564076781126,12.008322960050235,189.8195481300354
6,8.87410625e-05,2.0210746486312012,1.8322580162255448,0.03437040929265063,0.020095890378717132,1.8299036739257903,0.002354342299754378,0.014274518978162646,12.007581640346885,189.83066320419312
7,7.5429903125e-05,2.013529243532691,1.8256214385728855,0.03391926334666207,0.019578603688132,1.823287705514399,0.002333733058486391,0.014340659667705667,12.006928089217013,189.80819511413574
8,6.411541765624999e-05,2.008974503396268,1.8224088065930844,0.033249545885993194,0.019101648495115083,1.8202104361776479,0.002198370415436361,0.014147897409229296,12.006660747997866,189.69247388839722
9,5.449810500781249e-05,2.023343639413002,1.835695537946372,0.03379491876278605,0.019471022295834396,1.8334030474200063,0.002292490526365708,0.01432389653806249,12.005826663501157,189.60990047454834
10,4.6323389256640616e-05,1.9952789761818324,1.813893827415606,0.030662631996783422,0.01685715602536507,1.8119568649833349,0.0019369624322710395,0.013805475934715988,12.005988745853818,189.57364773750305
