EN,MI,SD,SF,AG,SSIM,MS_SSIM,Qabf,VIF,Nabf,SCD,CC,PSNR,MI_A,MI_B,SSIM_A,SSIM_B,method,stem
6.031665917322624,1.3082081908307952,16.091639814424116,18.51690610704782,11.942143144289087,0.2506755923218192,0.6573819201050584,0.2359968018156554,0.023214020455029415,0.07526478312455405,0.9050776427461703,0.48088909638122923,24.38768936544241,0.11836249663527454,1.1898456941955207,0.04856112133504441,0.452790063308594,MDFNet,02-A02
6.095570346984449,1.0605529232008308,16.663161187915897,18.62169221458819,11.802819247596323,0.3401131074833189,0.5913744931401499,0.2127840045730026,0.025091672208785047,0.08447872062284417,1.1323334320585339,0.41591392709494657,24.20307664955677,0.11850250599631629,0.9420504172045145,0.18722399189444536,0.4930022230721925,MDFNet,02-B08
6.3482982739597045,1.8440496356219356,19.98300736154167,19.121266758064504,11.950437106509714,0.3684096773704992,0.7267358661106561,0.25224498709958787,0.024246178196499726,0.08917986172662253,0.7993130344946151,0.5102129915271154,25.4726924032838,0.0717383072015707,1.7723113284203649,0.23313414961309384,0.5036852051279045,MDFNet,02-C08
5.580991538538994,1.2924583110804306,11.974981077109655,17.665547747925782,11.656229254606433,0.25471388446025467,0.7515607397393822,0.26631464314058656,0.023744570135386188,0.1778846588258744,0.759317685823194,0.41114415782657854,27.03344664232672,0.12107759426179499,1.1713807168186356,0.07527117731575195,0.43415659160475745,MDFNet,02-D09
6.156875415319139,1.8298240345192802,17.913634562064395,17.185219476677467,11.265647352220196,0.3683357032419976,0.8132469422096629,0.23200646082596554,0.02318036430132932,0.1274063734309343,0.845369058181187,0.5262702300532797,27.831974023896592,0.195119562584388,1.6347044719348922,0.2629360665859357,0.47373533989805955,MDFNet,02-E11
5.29363676059764,1.2790557934107785,13.633716384047165,14.107925939824895,9.112452144696954,0.2790829272227472,0.756949074883174,0.2061777072267173,0.022637236630530404,0.14031257602516023,1.1334484218162215,0.5991380603605252,21.89983208230583,0.21758372549678562,1.0614720679139928,0.2929000912874507,0.2652657631580437,MDFNet,03-B01
6.493605525817578,1.880681975798339,23.6192102733855,18.870092200036776,12.089041635929897,0.2653033319560896,0.5541443724267762,0.42032967532213383,0.03225979684550748,0.06306141082405063,1.1183410144106394,0.44505064367568137,27.11868078058812,0.10795932504892036,1.7727226507494187,0.04078237539265058,0.4898242885195287,MDFNet,03-C09
6.103725028953996,1.3419179139454478,16.881687802268544,18.137946908886192,11.859436304773942,0.26593466109911346,0.6486252330701114,0.30159808988256065,0.02490514156541704,0.08130441405583871,1.054292069449359,0.4820014759810892,26.821227317185873,0.13655649551079918,1.2053614184346486,0.0671267403347035,0.4647425818635234,MDFNet,03-E06
6.107286607489001,1.5487249448519371,16.82101965412008,17.876083346766443,11.711486119576898,0.260338309374488,0.6647938369200158,0.28805394264946727,0.024772537175762756,0.08981695375578713,0.7270911436440486,0.5476662223590822,26.285948020954912,0.17418673310989874,1.3745382117420384,0.06287994576373146,0.45779667298524446,MDFNet,03-F07
5.837111605436563,1.131709790847415,14.239087880025105,17.6565724268511,11.636631394552914,0.27381586792754486,0.6907262284312053,0.21865083832098856,0.02164030369645431,0.08444260759574088,0.7854973739464439,0.4961596039291368,26.135764393493517,0.13690664455616464,0.9948031462912503,0.07863940436997358,0.46899233148511615,MDFNet,04-C12
6.23358653517071,1.579415429897228,18.610154661617578,18.304591352079097,11.893280982513437,0.25559797148868874,0.6491198701795012,0.3483667431762518,0.027220881352031014,0.1085496910366898,0.9915010325216795,0.518428523037507,27.329072238332376,0.11135024081743161,1.4680651890797964,0.06236443220182567,0.44883151077555183,MDFNet,04-F04
5.915614222726607,1.072022664862951,14.924460812091729,17.33841390791236,11.455568818867027,0.29547322504514395,0.6554606149053976,0.28525138727407934,0.024981473185655016,0.056904287933012124,0.8582500308825677,0.5162599592175099,26.02233105473371,0.16532158852578505,0.9067010763371659,0.09218332441222396,0.49876312567806397,MDFNet,04-H07
6.221539909979612,1.4301043158148268,18.305960124715803,19.008011895511213,12.230990312028062,0.28257804604935627,0.604347634909586,0.2871388867889758,0.027103673147822364,0.06423705957600828,1.028950675267298,0.460669323317859,24.994230860518325,0.11588069395581613,1.3142236218590106,0.07398735119144743,0.4911687409072651,MDFNet,05-B02
5.755653187639893,1.247214686001973,13.2606708359677,18.187473826358268,11.796683475420448,0.2777300939469852,0.756243928199108,0.24325226887380957,0.023632710796652433,0.24444266318595184,0.8294675243663673,0.48169939692948294,28.26363895477804,0.10659550333136103,1.140619182670612,0.14738654395581324,0.40807364393815715,MDFNet,05-D09
5.842052308434031,1.0500751216242392,13.99388188822328,17.576362441018897,11.552784759788839,0.2597765661732614,0.6690878905922013,0.13674142056595237,0.01735412210938325,0.07852605702488732,0.8493582393617527,0.48802372916753073,25.908488699608494,0.13795197834275186,0.9121231432814874,0.0792352499720342,0.4403178823744886,MDFNet,08-F07
6.2375495031094665,1.3849146216670771,29.980310849333375,11.951500180800691,5.322827614374293,0.34406198249187847,0.47704550426129083,0.20473879368908462,0.019149065005089456,0.32596554179830856,0.9435625981725286,0.40597423931927085,6.136438008858299,0.1673822079894638,1.2175324136776133,0.03921625470951401,0.648907710274243,MDFNet-a2,02-A02
6.230813094538163,3.0618642413528843,19.67794792705776,9.008028123703488,3.61189038734093,0.5212411186455292,0.4731869054032542,0.38994984129845245,0.05467952469484211,0.08626299192556577,1.0261688268211318,0.36352412772707754,9.391754344572332,0.23176439470850063,2.8300998466443836,0.17126441587224542,0.871217821418813,MDFNet-a2,02-B08
6.538009766907588,3.5250854924640063,25.16999086789854,9.193409086772236,4.443286268832122,0.5601362233919299,0.7057664580136126,0.46787798633185357,0.05050134774235689,0.0914830781849995,0.8724370711552877,0.5392152420294258,10.194757540298326,0.08589876106648653,3.4391867313975197,0.23001495760907914,0.8902574891747806,MDFNet-a2,02-C08
5.214861208651764,1.381424910702985,21.390626516670157,15.858881038344627,4.891010218786065,0.34722925543387384,0.5755459902831264,0.19143570140489205,0.017867559643986272,0.3426563671396193,0.6405657900167377,0.3290898815897389,4.0117847367451445,0.14948090637342926,1.2319440043295558,0.03812979798401111,0.6563287128837366,MDFNet-a2,02-D09
6.15282871167336,2.4758749664400046,20.500957161042418,13.742991037968089,4.526100192190924,0.47401671552276775,0.7404253514014327,0.27697615506658596,0.02407855017610992,0.3546095137630301,0.7670651646730423,0.495258631206145,8.415005056315163,0.23674561418677165,2.239129352253233,0.17614755629919907,0.7718858747463364,MDFNet-a2,02-E11
5.982225302517211,0.6714443477860002,26.597000886130633,24.01776612924873,11.544999068606861,0.14127328930567556,0.4639406648388865,0.07207113749791204,0.006321943082239122,0.5727084119515802,0.33620292882215985,0.18321614789859447,4.979375796637703,0.26532138545611694,0.4061229623298832,0.031078680113168007,0.25146789849818313,MDFNet-a2,03-B01
6.446195537313024,2.3869834518869695,49.44097095137976,18.224458452143445,6.813918035698587,0.3290048892912185,0.4499956254471711,0.286028717567102,0.0302865728770819,0.2644860055647723,1.1040676062636365,0.43910403709370427,4.749079599923911,0.1354883833712197,2.2514950685157498,0.017860649917681024,0.640149128664756,MDFNet-a2,03-C09
6.3858801801284795,1.839980620186731,37.817058733404764,17.1212472162265,6.212151594922831,0.32482967075296537,0.48675558494419,0.2128683206555279,0.02483905742365615,0.3298957460832078,1.1310836612773145,0.4654334177970539,4.6012531723843475,0.18981460363827551,1.6501660165484555,0.03217486172213976,0.617484479783791,MDFNet-a2,03-E06
5.990746325876414,1.9684366161787707,33.376273207159244,13.256044377894433,4.984520742352281,0.35402072104368687,0.5146685930028698,0.18507937513101144,0.0238977487037121,0.2516672094276296,0.792497272686872,0.45795672786104485,4.967787710302444,0.24377653160103918,1.7246600845777316,0.04086696097724409,0.6671744811101297,MDFNet-a2,03-F07
5.976139179681669,1.3239776205096305,16.692543590038316,13.261290057884366,5.415315913237476,0.4015356779659309,0.6292157960989705,0.2640965774318571,0.018968916791195774,0.2917970152858489,0.8044701874850775,0.4750218555736591,7.551092369416925,0.1579841901500565,1.165993430359574,0.045777529364720675,0.7572938265671412,MDFNet-a2,04-C12
6.608736689086486,1.981014993031108,44.22702556834865,17.70381391096387,7.014817346542722,0.30606628042643513,0.4955509938884737,0.23343781968360677,0.027956848656377497,0.3808156712638902,1.0555651316078023,0.48455007022251273,4.420592152627995,0.16303938583123845,1.8179756071998696,0.024988298308185497,0.5871442625446848,MDFNet-a2,04-F04
5.724911959875118,1.3075277087528843,16.180169282242648,12.739249746697302,5.097404158595023,0.4209214215747763,0.6278244047394945,0.3878792539968578,0.02416209868304721,0.16238621790002974,0.9770206891404736,0.538724374879059,8.20099871129679,0.24221916170257352,1.0653085470503108,0.06836524303222101,0.7734776001173316,MDFNet-a2,04-H07
6.510403694560879,3.1458776661693406,22.54922810388494,11.085377052737462,4.599552259979494,0.4644215930669682,0.5985774568600752,0.5065530699718123,0.05714280754140674,0.08315217110377475,1.1553972783553519,0.46757243593010867,8.725016023451893,0.14805851574385898,2.9978191504254816,0.05276937697571576,0.8760738091582206,MDFNet-a2,05-B02
6.095378569998063,1.2425664160895522,24.1692355172558,19.003049196214175,7.5640199807873145,0.26030905449556196,0.5727722701630075,0.10690804104622727,0.017355195304799082,0.6087285496307739,0.7744065495190707,0.41564421375871907,4.4507490319322045,0.1693209094873609,1.0732455066021913,0.045719040974703556,0.47489906801642034,MDFNet-a2,05-D09
5.661354790229567,1.6863533539601399,15.273331356903036,8.8745625001128,3.760274280680446,0.4354848336254378,0.6497942837437723,0.20492391340075164,0.022055552914467702,0.11797696081215549,1.011890445528139,0.5297474445628999,8.691409584689698,0.19501303584124585,1.491340318118894,0.049628694850592805,0.8213409724002827,MDFNet-a2,08-F07
6.721413092474691,1.7125213415315645,25.972171034553433,17.81641917623387,11.104822483816044,0.3052049824829406,0.6394120901948391,0.19791972485659137,0.029487605933362818,0.39101350071654883,1.048958161271654,0.4648435518236818,14.689898023898856,0.12174062494598736,1.5907807165855772,0.034277550650238686,0.5761324143156424,Retrained,02-A02
6.634463213136355,1.515133587386341,24.239445659464607,19.02206382339081,11.875293482659876,0.3495226781675248,0.5823400985088714,0.17146910622606495,0.031457799368947506,0.4520881954540409,1.2533260189611202,0.4091784791759351,17.434107500642682,0.18824648330871696,1.326887104077624,0.13141069639973696,0.5676346599353126,Retrained,02-B08
6.904064577114907,1.8786079173682744,29.97367800093396,17.807080946207805,11.024232228541434,0.3644132897943895,0.6987231744355694,0.14410034377857714,0.024545060886364517,0.35347334081838494,1.0051181058718632,0.5443467757887398,16.472405185691304,0.09374283312915921,1.7848650842391152,0.1820519881271643,0.5467745914616148,Retrained,02-C08
5.7835806755634085,0.8820566317691725,13.535601578354,20.237643040335797,12.927056126361718,0.23469760291410136,0.7402365507878431,0.10704138042887838,0.020397417960159297,0.5311698925330989,0.49960148016595574,0.3232239959661426,16.205848273732006,0.08046919404084996,0.8015874377283225,0.04236801130170611,0.4270271945264966,Retrained,02-D09
6.378438074682272,1.5219266040546362,20.738997572570817,22.208132488254634,13.939955756271079,0.2579878894822132,0.7976449981222453,0.06427164375278799,0.019899326432986718,0.7280328352343931,0.8226928040262673,0.49709528071850817,19.180331635062547,0.19738517565531133,1.3245414283993249,0.14191548609971094,0.3740602928647154,Retrained,02-E11
5.99212872006493,0.836938076194091,16.202769625133165,25.80055848940745,15.820486368703685,0.17223320365289382,0.7242984648396418,0.05701271234296286,0.0177454588392298,0.6126268117270237,0.6474844059805245,0.39293539838987923,19.28307774367402,0.15626930191573507,0.6806687742783559,0.042236941602428565,0.30222946570335907,Retrained,03-B01
