,EN,MI,SD,SF,AG,SSIM,MS_SSIM,Qabf,VIF,Nabf,SCD,CC,PSNR,AvgRank,value::EN,value::MI,value::SD,value::SF,value::AG,value::SSIM,value::MS_SSIM,value::Qabf,value::VIF,value::Nabf,value::SCD,value::CC,value::PSNR
Max,1.0,1.0,2.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,2.076923076923077,6.450360738844731,6.554446301288377,23.81955463980147,7.168022380136293,3.418164445711008,0.5511568398065919,0.6623534971183397,0.736615736278173,0.4472177408948782,0.0005949345550147585,1.2954102060804036,0.5163013211534816,13.987864412487745
Avg,5.0,2.0,5.0,5.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.6153846153846154,5.484720925961914,3.2267906002181643,14.777411295926347,4.647810998726152,2.209487197110744,0.498787326497308,0.7321205355705421,0.36671495366983037,0.07113201873686786,0.0013953641625519674,1.382692748887655,0.6674947236010897,57.158773853375024
MDFNet,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,5.0,3.0,3.0,3.0,2.0,3.230769230769231,6.001147545624703,1.393067715487227,16.461084954634547,17.878273769969933,11.597042136891345,0.2865252643440872,0.6793199097214657,0.2623271905023823,0.024398978786816385,0.10438747458293043,0.9211738919313386,0.4919684893905702,25.980539565800367
MDFNet-a2,3.0,3.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,3.3846153846153846,6.117068967609816,1.9588884684785388,26.86951136791667,14.336111207180814,5.720139204195158,0.37897018180230907,0.5640710588726419,0.26605498027823565,0.027950852616024528,0.2843060967890124,0.8928267467683084,0.43933552316326757,6.632472922630211
Retrained,2.0,5.0,3.0,1.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,3.6923076923076925,6.405118674314065,1.3767415874788602,21.520524785274805,20.607096902076826,12.896717653395164,0.2709657373591642,0.6274856490255406,0.13811783354343693,0.025258129990909046,0.4939086814386808,0.7473066343324466,0.4109824320466473,16.77790611404166
