phase,epoch,loss
1,1,2.0598165905869092
1,2,1.9979570469472574
1,3,1.9888552992002075
1,4,1.9618331122025718
1,5,1.948904070826186
1,6,1.9394962824096984
1,7,1.9342285779581425
1,8,1.9196047041877418
1,9,1.9095594257975357
1,10,1.9113292372123607
1,11,1.9115590721885911
1,12,1.8994447835724828
1,13,1.9065558972971401
1,14,1.8967729250189904
1,15,1.898378558314877
1,16,1.8999953908987015
1,17,1.8957141558631279
1,18,1.8925776048308007
2,19,2.1607768219013135
2,20,2.0168847316628624
2,21,2.0113395184973037
2,22,2.0043779115673583
2,23,2.008817347418338
2,24,1.9774516823250428
2,25,1.9692214395108623
2,26,1.9787913386323115
