epoch,loss,loss_content,loss_structure,loss_ssim_gfp,loss_ssim_pci,loss_RMI_gfp,loss_RMI_pci,loss_intensity_gfp,loss_intensity_pci,loss_grad
1,3.216999523,1.939005546,1.277993975,0.86918561,0.394829132,0.706741195,1.159244498,0.125673761,0.020365947,0.013979232
2,3.011149967,1.892209942,1.118940023,0.869226436,0.238387193,0.709870492,1.114254781,0.12478658,0.011382758,0.011326395
3,2.979837951,1.878677624,1.101160328,0.869340224,0.220867265,0.710172812,1.100228518,0.125254219,0.011298371,0.010952839
4,2.89748324,1.81570665,1.081776591,0.871339883,0.199536433,0.710580755,1.036826917,0.125480245,0.011117711,0.010900275
5,2.84566137,1.782126791,1.063534579,0.872814382,0.179903842,0.711006984,1.002553463,0.126165212,0.010967474,0.010816354
6,2.828398944,1.774177027,1.054221918,0.872623344,0.170858908,0.711029787,0.994574465,0.126271851,0.0108737,0.010739666
7,2.813523754,1.766545373,1.046978381,0.872818639,0.1634721,0.711063028,0.986916871,0.126377323,0.010753625,0.010687643
8,2.804285798,1.761849568,1.042436231,0.872880921,0.158896091,0.7111147,0.982166059,0.126507027,0.010630593,0.010659218
9,2.796868536,1.757440554,1.039427981,0.872803599,0.15596451,0.710986476,0.978037621,0.126202831,0.010630082,0.010659871
10,2.789354757,1.755611455,1.033743302,0.872692146,0.150272993,0.71104508,0.976077705,0.126614317,0.010363023,0.010778162
