epoch,loss,loss_content,loss_structure,loss_ssim_gfp,loss_ssim_pci,loss_RMI_gfp,loss_RMI_pci,loss_intensity_gfp,loss_intensity_pci,loss_grad
1,4.312886513,1.966809591,1.173038462,0.874346044,0.287426019,0.713560324,1.178338167,0.138373018,0.01144918,0.011266399
2,4.061822948,1.922804604,1.069509172,0.872815859,0.186284373,0.715010376,1.133800232,0.137393891,0.010594101,0.010408939
3,3.99409136,1.898023432,1.048033965,0.869885165,0.167425215,0.714881557,1.108955154,0.137275508,0.011097935,0.010723585
4,3.849879639,1.810094612,1.019892514,0.872091825,0.136778464,0.71515697,1.02060918,0.137954795,0.010702131,0.011022225
5,3.767903361,1.786609518,0.990646922,0.868855232,0.111101405,0.714577179,0.999580591,0.136581348,0.008322146,0.010690285
6,3.664738253,1.779055586,0.942841332,0.864711058,0.06719619,0.715247787,0.991293583,0.140363799,0.004664633,0.010934085
7,3.590783989,1.774926816,0.907928587,0.852396488,0.045016067,0.715749084,0.986148586,0.142914502,0.003143789,0.010516032
8,3.523947899,1.770123436,0.876912232,0.8286376,0.037951353,0.71544889,0.982008025,0.142350934,0.002982111,0.010323279
9,3.509584075,1.76583235,0.871875864,0.82572159,0.03594085,0.715469558,0.977696626,0.142442782,0.002889549,0.010213424
10,3.491350615,1.763699901,0.863825357,0.820397106,0.033419995,0.715348292,0.975847543,0.142239159,0.002768972,0.010008255
