epoch,lr,loss,content,structure,ssim,rmi,intensity,grad,aux,sec
1,0.001,3.8468073333775754,3.075166670942173,0.3394740611134971,0.30048428581490955,3.037990113509094,0.03717655743307927,0.03898977575090406,9.269254235660329,288.8734927177429
2,0.0008,3.3497061946793347,2.8117762047199264,0.2232313883879965,0.19573747662217728,2.7904243241082742,0.021351880611652344,0.027493912400748034,9.146721522013346,285.1835355758667
3,0.00064,3.25703069168953,2.786493660651037,0.18991548939977476,0.16398381072111978,2.7664513145081755,0.02004234614286173,0.02593167872641511,9.070605440556912,285.5657217502594
4,0.0005120000000000001,3.1589770387748155,2.7409408747865682,0.1637018614787142,0.13877537725198322,2.72344652251027,0.01749435227629792,0.02492648407502232,9.063244310439442,285.4780478477478
5,0.0004096000000000001,3.133492628093884,2.7538233068565074,0.1446643689841167,0.12045824563701049,2.737654010922995,0.016169295933513395,0.02420612300435702,9.034058537778092,285.5940144062042
6,0.0003276800000000001,3.0647961185619095,2.718724499015839,0.12779427951322603,0.10398690607033524,2.7031110713843263,0.015613427631512036,0.02380737342322484,9.048306249385506,285.15947818756104
7,0.0002621440000000001,3.0292082463828036,2.696623708232736,0.1211942668054618,0.0978325249382813,2.6822318154011455,0.014391892831589953,0.02336174207086342,9.019600649584833,285.4703195095062
8,0.00020971520000000012,3.00708198645899,2.687347796097278,0.11476476167976227,0.09170269013170383,2.6733338661434503,0.014013929953826746,0.023062071515750113,9.02046689512503,285.4337956905365
9,0.0001677721600000001,2.9961721586227017,2.688048709149431,0.10900116459007177,0.08600782503010101,2.67450060281205,0.013548106337380546,0.022993339402643264,9.01211225501013,285.36967754364014
10,0.00013421772800000008,2.978477884321078,2.674694013941678,0.10682543382880196,0.08407625767260475,2.6616671094400957,0.013026904501582792,0.022749176015726222,9.013300472794615,285.93682289123535
11,0.00010737418240000007,2.966473993574219,2.671934181459146,0.10221466692909037,0.07953428125309549,2.659388242598504,0.012545938860641885,0.022680385760277463,9.011048037901544,285.8295886516571
12,8.589934592000007e-05,2.950056232384666,2.658996288027398,0.1004861821090384,0.07781785034306268,2.646515751682434,0.01248053634496403,0.02266833181373584,9.008758209769363,286.20327830314636
13,6.871947673600006e-05,2.951418009538505,2.6629468890010086,0.09920714865263051,0.07665952244495375,2.6500710957168283,0.01287579328418031,0.022547626164130766,9.005682539616235,286.203941822052
14,5.497558138880005e-05,2.940576535841464,2.65700101446117,0.0967626492766773,0.0742661949376355,2.6448020863205413,0.012198928140629178,0.02249645444299031,9.005022500614954,286.014568567276
