epoch,lr,loss,content,structure,ssim,rmi,intensity,grad,sec
1,0.001,8.359302522384944,2.051745893204037,3.153778314590454,3.0917738874753318,1.9175737808748983,0.13417211232913864,0.062004419323056933,93.49038410186768
2,0.0008,4.111212337810591,1.6049875254089234,1.2531124062008328,1.242874566713969,1.5290250761712194,0.07596244923770427,0.010237838834938076,89.89728379249573
3,0.00064,3.947641902031363,1.5811471060201774,1.1832473980055915,1.1727146612273323,1.5078375136556148,0.07330959236456289,0.010532737771670023,89.87025928497314
4,0.0005120000000000001,3.8426771306554732,1.5706556515786654,1.1360107395384047,1.1244114491674635,1.4962171510915232,0.07443850048714214,0.011599292161150111,89.89073491096497
5,0.0004096000000000001,3.786579276559126,1.574298038850928,1.1061406188540988,1.093808815214369,1.499119431463252,0.07517860738767518,0.012331801125158866,89.95746493339539
6,0.0003276800000000001,3.732141675173098,1.57165798109656,1.080241847038269,1.0674086266093783,1.49606403993453,0.0755939411620299,0.012833222332927916,89.858731508255
7,0.0002621440000000001,3.7026047959125314,1.5670085179338469,1.0677981389893425,1.054585301876068,1.4915238658616554,0.07548465207219124,0.013212832632578081,89.89746761322021
8,0.00020971520000000012,3.681778823445126,1.5743481587468422,1.0537153323491415,1.0403968983226353,1.4991956212718125,0.07515253747502963,0.013318438776251343,89.87537550926208
9,0.0001677721600000001,3.6596361552593715,1.5687117107958548,1.0454622222317589,1.0319383535120221,1.4934132992311606,0.07529841156469451,0.013523874504284727,89.8686203956604
10,0.00013421772800000008,3.6539218315337165,1.5694607001729206,1.0422305656803978,1.028560753663381,1.493202375672333,0.07625832450058725,0.01366981075455745,89.929354429245
