epoch,loss,loss_content,loss_structure,loss_ssim_gfp,loss_ssim_pci,loss_RMI_gfp,loss_RMI_pci,loss_intensity_gfp,loss_intensity_pci,loss_grad
1,3.945749492,1.987498514,1.305500651,0.88025242,0.412877614,0.712133564,1.198871029,0.138523322,0.014464519,0.012370616
2,3.556318147,1.922296122,1.089348016,0.87113123,0.20699932,0.713850556,1.135194564,0.135176593,0.011325409,0.011217467
3,3.495858999,1.913086371,1.055181752,0.860564091,0.182420443,0.713742018,1.124957577,0.135749784,0.013023766,0.012197217
4,3.471411302,1.902542878,1.045912282,0.857122574,0.176195311,0.713688872,1.113899618,0.136180535,0.013728242,0.012594396
5,3.452504407,1.89627418,1.037486817,0.853411551,0.171151201,0.713499323,1.107396244,0.136273744,0.01448348,0.012924064
6,3.442813153,1.881692522,1.040747087,0.859407744,0.168547076,0.713922338,1.092595036,0.136731925,0.013618372,0.012792267
7,3.35136677,1.816558792,1.023205317,0.861010016,0.149061272,0.714027547,1.027312213,0.136840147,0.013597918,0.01313403
8,3.238831514,1.783486453,0.970230042,0.862538612,0.094451226,0.714133052,0.99538384,0.138578373,0.009360748,0.013240204
9,3.197702661,1.776101019,0.947734428,0.860643212,0.073812475,0.714713872,0.986827968,0.141197552,0.007920806,0.013278741
10,3.200777378,1.771960173,0.952544804,0.875849631,0.06419991,0.715894254,0.981948195,0.14303918,0.005196268,0.012495262
