phase,epoch,loss
1,1,2.088204273456302
1,2,2.002506325252562
1,3,1.9751236653311242
1,4,1.970787734335599
1,5,1.959309262202117
1,6,1.9434212674341893
1,7,1.9325711640016874
1,8,1.9294460295693883
1,9,1.9301669197481275
1,10,1.9233746633369075
1,11,1.9200825127957832
1,12,1.9128522118151472
1,13,1.9173573112512308
1,14,1.91303914550345
1,15,1.9048906652194912
1,16,1.9076982890452747
1,17,1.9016737430946549
1,18,1.9005407269132006
2,19,2.089720149294532
2,20,2.0022599088704576
2,21,1.988027707330746
2,22,1.9886101318558997
2,23,1.9730850057627913
2,24,1.9668383823271656
2,25,1.9587653815954806
2,26,1.9566439932171313
