epoch,loss,loss_content,loss_structure,loss_ssim_gfp,loss_ssim_pci,loss_RMI_gfp,loss_RMI_pci,loss_intensity_gfp,loss_intensity_pci,loss_grad
1,4.076850385,1.961077216,1.209013238,0.875006428,0.322593856,0.711167863,1.174139423,0.135795509,0.015744351,0.011412954
2,3.793008882,1.913027725,1.074274948,0.871006063,0.192016232,0.71424256,1.125286888,0.135796687,0.011199867,0.011252653
3,3.637842165,1.823096978,1.036997249,0.87250558,0.15294361,0.714695271,1.034625996,0.136753709,0.010797711,0.011548058
4,3.586049141,1.800348751,1.020400224,0.873583778,0.134742397,0.714868606,1.011637478,0.137567299,0.010118034,0.012074049
5,3.488227579,1.79077167,0.969974805,0.85856516,0.099952421,0.714146542,1.00480618,0.136443931,0.007193965,0.011457224
6,3.420659476,1.783490223,0.935525288,0.858567872,0.065800442,0.714946304,0.996565425,0.13986339,0.004093599,0.011156975
7,3.397950025,1.777372967,0.926044033,0.86057453,0.054729911,0.715403387,0.989581444,0.141524946,0.003251326,0.010739592
8,3.363934695,1.771929365,0.909717331,0.852420147,0.04692495,0.715424309,0.984187604,0.141758529,0.002876377,0.010372234
9,3.343616146,1.767303323,0.900750184,0.847665649,0.04285116,0.715464422,0.979482894,0.142045922,0.002666093,0.010233375
10,3.296613978,1.765250947,0.87506459,0.826169143,0.038653736,0.715264398,0.977738422,0.141731891,0.002764362,0.010241711
