epoch,lr,loss,content,structure,ssim,rmi,intensity,grad,aux,sec
1,0.001,5.768517672178186,2.155871040461496,1.759918713821365,1.746093940591021,2.0466384451334294,0.10923259532806741,0.013824774420835628,9.280920629947254,287.1453742980957
2,0.0008,5.138691694745099,1.9122237329597116,1.5674080507068433,1.5576316287255036,1.8380427805360982,0.07418095242361318,0.009776420469169657,9.165186240482473,286.39389419555664
3,0.00064,4.9965947687506524,1.8728180020950744,1.5164787636263517,1.507132486340507,1.798016944843834,0.07480105725124052,0.009346279892283822,9.081924136407775,286.4199538230896
4,0.0005120000000000001,4.949405098180291,1.8693939760380915,1.4946802886902477,1.4856769871388087,1.7949865965819007,0.07440737945619032,0.009003301082968398,9.065054694991305,286.74085783958435
5,0.0004096000000000001,4.892787832869165,1.8379480634431051,1.4821852913089828,1.4733542649814266,1.76350432946887,0.07444373397423491,0.008831023863695145,9.046918886279629,286.9417223930359
6,0.0003276800000000001,4.875725359830268,1.8369670015990456,1.4742084633710697,1.46562756708125,1.7630527876979425,0.07391421390110191,0.008580896430290662,9.034143363009031,286.62230825424194
7,0.0002621440000000001,4.855289398303361,1.8274201062615318,1.4687934673389877,1.4603713835346572,1.7528137753619908,0.07460633089954137,0.008422082985384702,9.028235946125934,287.22152829170227
8,0.00020971520000000012,4.852524702666325,1.8227699470664114,1.4697723518129926,1.4614100369932426,1.7486210984697608,0.07414884859665127,0.008362313456479377,9.021005407537631,287.4521391391754
9,0.0001677721600000001,4.83833133866905,1.8219146268492152,1.4631141918636914,1.4548646420195452,1.7475076066672126,0.07440702018200182,0.008249549900334704,9.018833019434956,287.5659646987915
10,0.00013421772800000008,4.8197262556440466,1.8153920230553446,1.4571006681045255,1.448929278379472,1.7417830351791521,0.07360898787619302,0.008171390421789696,9.013289844288545,287.70999121665955
11,0.00010737418240000007,4.827904003268049,1.8136461164263151,1.4620781428493885,1.4539466934506171,1.7398212883543036,0.07382482807201138,0.008131453249783312,9.010160313832095,287.4276511669159
12,8.589934592000007e-05,4.822627165870184,1.8150811401218425,1.458731319569894,1.4506610835119969,1.7408130464043041,0.07426809371753876,0.008070237735120599,9.008338851986247,287.7622902393341
13,6.871947673600006e-05,4.810803881130909,1.8073744076168843,1.4566818779590083,1.4486097546903975,1.733807444476462,0.0735669631404215,0.00807212073100256,9.006571973970393,287.8106074333191
14,5.497558138880005e-05,4.813618574343545,1.808085147017608,1.457740463822136,1.4497458562592036,1.734101281453697,0.07398386556391083,0.007994607619120884,9.005250178491009,287.4697940349579
