,EN,MI,SD,SF,AG,SSIM,MS_SSIM,Qabf,VIF,Nabf,SCD,CC,PSNR,AvgRank,value::EN,value::MI,value::SD,value::SF,value::AG,value::SSIM,value::MS_SSIM,value::Qabf,value::VIF,value::Nabf,value::SCD,value::CC,value::PSNR
Max,1.0,1.0,3.0,5.0,5.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,5.0,2.4615384615384617,6.404257487052324,6.497179385915952,22.871929027059956,8.18515262498096,3.950757384269808,0.543301599066336,0.6467893968795102,0.7291873540923285,0.43897758961142913,0.0011832832327554285,1.1613005757742196,0.4976088016317499,13.891297213914855
Avg,6.0,2.0,6.0,6.0,6.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,5.4894817498539314,3.0772013062228547,14.583185094311666,5.33263514336331,2.633137943104285,0.48334008613148477,0.7153482906376524,0.3643332308272056,0.07114325762597606,0.0009668086596648619,1.4087793148247514,0.6637975846484264,57.15483520700679
Structure,2.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,3.3076923076923075,6.238628032430511,2.9878232878644138,22.38097945395867,9.410058933665523,4.35032208614411,0.5036187639186549,0.6203889111859662,0.5502496526659456,0.05795729406813773,0.13276778108579684,0.9321047315817731,0.4469808397589136,17.04998427994503
MDFNet,4.0,6.0,5.0,1.0,1.0,6.0,2.0,5.0,5.0,3.0,4.0,3.0,2.0,3.6153846153846154,6.012495730462172,1.269620435685564,16.3110761773207,18.59749399546861,11.959451722376967,0.28603858512123304,0.6619777562410558,0.2734957497152784,0.025001549025566727,0.08937729223243207,0.9142737265161531,0.47707916022120656,26.196907018161795
MDFNet-a2,3.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,4.076923076923077,6.188876922147192,1.9133287975838507,25.74598915051778,14.893057417702533,6.052522209580717,0.38515175202420493,0.5643015085746476,0.2898566796304669,0.031147705664091852,0.2656092805098033,0.9011075159123981,0.44178007969026956,7.043436257526528
Content,5.0,5.0,1.0,2.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,4.538461538461538,5.827963103101877,1.5058547942259863,31.279144934247025,16.48642705733122,8.103040071461175,0.2973103409768891,0.44892350589281266,0.19655964726553396,0.022837334636648162,0.40967135637358404,0.37694718648662384,0.26057495862895436,17.0547463980738
