phase,epoch,loss
1,1,2.084462123674178
1,2,2.0103338541582207
1,3,1.985667317125581
1,4,1.9679056383504303
1,5,1.9522720680013599
1,6,1.9424580721294378
1,7,1.9363975646025442
1,8,1.9207085492779825
1,9,1.918652977873471
1,10,1.9196156353666336
1,11,1.911587665166328
1,12,1.9086306956387122
1,13,1.8897590440103016
1,14,1.8902514444751903
1,15,1.8939092689801456
1,16,1.8953327432816838
1,17,1.8929567135942749
1,18,1.8926149118991291
2,19,2.056138557631935
2,20,1.9520985918731428
2,21,1.9493706632631853
2,22,1.9553983330792397
2,23,1.9490440715487092
2,24,1.9556466207419945
2,25,1.9436377554910116
2,26,1.924494641732606
