method,EN,MI,SD,SF,AG,SSIM,MS_SSIM,Qabf,VIF,SSIM_hm,MS_SSIM_hm,Qabf_hm,VIF_hm,MI_hm,Nabf,SCD,CC,PSNR,Balance,MI_A,MI_B,SSIM_A,SSIM_B
Avg,5.484720925961914,3.2267906002181643,14.777411295926347,4.647810998726152,2.209487197110744,0.498787326497308,0.7321205355705421,0.36671495366983037,0.07113201873686786,0.34260265432330056,0.7175087917583749,0.2798336935584223,0.024769419583308732,0.6153095836430501,0.0013953641625519674,1.382692748887655,0.6674947236010897,57.158773853375024,0.30789516768913044,0.35767559340236865,2.8691150068157953,0.23800427175319133,0.7595703812414245
MDFNet,6.000254331531767,1.3929532078117504,16.465906189262988,17.87305400412937,11.595571174207391,0.28628325515765457,0.6793521016548947,0.26201637396061045,0.024257712593159956,0.17393801572982645,0.635209544390717,0.1200491555528014,0.008225384844148444,0.24177636254693644,0.10516703347303898,0.9211816181815142,0.491973959318935,26.04738807925243,0.27506498947630637,0.13573626835253272,1.2572169394592174,0.12078325118512828,0.4517832591301809
Max,6.450360738844731,6.554446301288377,23.81955463980147,7.168022380136293,3.418164445711008,0.5511568398065919,0.6623534971183397,0.736615736278173,0.4472177408948782,0.19276110877544111,0.47510556266567455,0.18577489936521316,0.014112637808929455,0.45190664682541254,0.0005949345550147585,1.2954102060804036,0.5163013211534816,13.987864412487745,0.11363570361579794,0.23677854571711426,6.317667755571263,0.11242295500290547,0.9898907246102785
Retrained,6.404183635840934,1.3749833663622952,21.506426901507336,20.617965253501772,12.903327664330817,0.27074795523967743,0.6275240008921111,0.13793226375578668,0.02519827251003466,0.10258786486755905,0.4494920846278486,0.06369155241409538,0.008351811164001374,0.2512198209558411,0.49405066490148414,0.747427686133569,0.4110268295214752,16.80621389778914,0.13198868620830823,0.1424329290975982,1.232550437264697,0.061220828844181036,0.4802750816351738
