EN,MI,SD,SF,AG,SSIM,MS_SSIM,Qabf,VIF,SSIM_hm,MS_SSIM_hm,Qabf_hm,VIF_hm,MI_hm,Nabf,SCD,CC,PSNR,Balance,MI_A,MI_B,SSIM_A,SSIM_B,method,stem
6.032511720404284,1.3162816539647526,16.102241480534712,18.50225824702861,11.94015803826018,0.25061405095756445,0.6574468113185125,0.23612469808575587,0.023220108832590767,0.08787638920328142,0.6234377946030483,0.06558709003536833,0.009430204749071792,0.21660625413809015,0.07522914612533808,0.9060166190601335,0.48114429535948344,24.450683393594556,0.10752635836888866,0.11907503423250354,1.197206619732249,0.048662708660458694,0.4525653932546702,MDFNet,02-A02
6.0970919771960865,1.0541848009883736,16.682819572134697,18.61309430133656,11.808595370029565,0.3400935122442085,0.5916313462157805,0.21378899163805107,0.025105179226383462,0.2715194329192686,0.515307625272716,0.1342318233281586,0.012057993167269689,0.21047189578152237,0.08441509899282461,1.133915739556307,0.4163877136949091,24.266984390024156,0.38022829470178177,0.11857280258647407,0.9356119984018996,0.18737940193827848,0.4928076225501385,MDFNet,02-B08
6.3450523009658335,1.8346270309316015,19.937329210549695,19.122561821686634,11.9582838961131,0.3680351089753233,0.7268624139397322,0.25089956933914753,0.024100277931427515,0.3189050434105726,0.7108043508407801,0.10979356863654731,0.0038980512433427006,0.1366687351842696,0.08904047327069106,0.7985729503294599,0.5100536065916534,25.606682067608606,0.46480787654727934,0.07108895441236562,1.7635380765192359,0.23356730972922937,0.5025029082214173,MDFNet,02-C08
5.582185199831107,1.302242699446694,12.007615005965992,17.669487713294455,11.656214206527164,0.2545117392752737,0.7514640118892608,0.26829632937578507,0.023295233644119357,0.1285974609193934,0.7283846790996107,0.09827787096308035,0.007075567029008282,0.21866977120725808,0.17956625182595054,0.7624646968906387,0.41215011716307803,27.123309571678224,0.17414331257465585,0.1204816833833835,1.1817610160633105,0.0754959243762932,0.4335275541742542,MDFNet,02-D09
6.159233765634987,1.8371517695541417,17.950187348915094,17.16442856424383,11.251672929414124,0.36879950714463633,0.8132218364182155,0.23227157414899963,0.023055723190409768,0.33892394437277196,0.8051066049585144,0.12014615165629752,0.0054197118959762565,0.35071367392300007,0.12874647430335975,0.8461500277725087,0.5264242087033709,27.884946069550566,0.5568826456991988,0.1963400972625351,1.6408116722916066,0.26383240360294463,0.473766610686328,MDFNet,02-E11
5.275205208874863,1.257025489308072,13.574892242972961,14.060513309302438,9.07642310457638,0.2792175120400077,0.7567993726451419,0.2049445715440789,0.02234810144800533,0.27818579776749414,0.7521529666790541,0.16004070166230136,0.007666895810716464,0.35942964602684435,0.14030407902373457,1.1289608486313436,0.598624632634326,21.82375817141741,0.8853932142732491,0.21726810109233696,1.039757388215735,0.2961902163710035,0.26224480770901193,MDFNet,03-B01
6.494471897860113,1.8878144750979686,23.65894586968696,18.877657925014486,12.091548129404623,0.26497850527473904,0.5540187423874509,0.4210925888604305,0.03229464880332651,0.07552107474028211,0.41200488118379636,0.12114375502484469,0.011743775497228125,0.20160142868294925,0.06321691636410019,1.117659415723362,0.44471245503818707,27.161250448541562,0.08367498004115194,0.1068482041091059,1.7809662709888627,0.040920149580930786,0.48903686096854726,MDFNet,03-C09
6.10480090975474,1.3479799133832167,16.894514815954487,18.139465089443068,11.857881024795295,0.26579834095450633,0.6485465430938221,0.3019708103755074,0.024873003811853405,0.11760354752876583,0.5907308529259809,0.12802604580409482,0.007645987710309602,0.24545999244133268,0.08227167563849759,1.0536293399146737,0.4816900700991684,26.859559078958405,0.14502286640099812,0.13656564383806824,1.2114142695451484,0.06732937554515674,0.4642673063638559,MDFNet,03-E06
6.113211772598003,1.5622629533687427,16.887845172202603,17.862510374321978,11.713354038410039,0.26015051046071924,0.66507898567982,0.2903117585312341,0.024776778582619473,0.11098187917253455,0.621641713843958,0.10554784245104848,0.0097067289696779,0.31314199826310807,0.08954923603956745,0.7329371194801919,0.5488393498712777,26.436817196888036,0.13815651844596794,0.17651481105899336,1.3857481423097493,0.0631573746048015,0.457143646316637,MDFNet,03-F07
5.837125422127731,1.1311360617304338,14.235819219666057,17.63610338101716,11.62711769814215,0.27336959431922325,0.6904527683854005,0.21678815984529723,0.02149559639055381,0.13530256469967017,0.6590761154826009,0.11577696727306677,0.006368788729349075,0.24118916925977063,0.08581419152297866,0.7852350142160943,0.49602136072546466,26.278453915146237,0.1691304327825858,0.13724769045106733,0.9938883712793665,0.0790931730119596,0.4676460156264869,MDFNet,04-C12
