epoch,loss,loss_gfp_pc,loss_irvis,loss_medical,quota_gfp_pc,quota_irvis,quota_medical
1,2.453124835389283,2.227431783494217,2.0941576300961735,3.0337526293491126,3894,3249,3468
2,2.349573118842606,2.100946522092514,2.039491368273623,2.9159197187362786,3894,3249,3468
3,2.3200297492335755,2.0874116773510814,2.01962189860237,2.8610982665979887,3894,3249,3468
4,2.304681112592276,2.085719832731255,2.002046286538344,2.832791208326611,3894,3249,3468
5,2.2939397818542946,2.072217036154245,1.9896583065919509,2.826980788476968,3894,3249,3468
6,2.291378256140293,2.0758897776321765,1.9969366308545626,2.808119468741059,3894,3249,3468
7,2.340100032154702,2.080233428656186,1.9957933895619606,2.7803370002894323,3540,3249,4624
8,2.3299088882924863,2.0840053382386707,1.9767214017794172,2.7656458498323224,3540,3249,4624
9,2.3230656748279612,2.071817343635097,1.9917066185841215,2.7544498847258794,3658,3249,4624
10,2.3279885392610833,2.0776969987686353,1.9996050141876722,2.7500452720575637,3540,3249,4624
11,2.3213895632049746,2.0812737157506684,1.984682592195973,2.74105037178641,3540,3249,4624
12,2.3136097304060206,2.082191610707389,1.9718574200262011,2.736277278390892,3658,3249,4624
13,2.3186989086411263,2.073403737099336,1.9990773727618096,2.7372062665714667,3658,3249,4624
14,2.3160354065047466,2.0698812321077766,1.9969374514617273,2.7284992365468534,3540,3249,4624
15,2.318857078376018,2.0801450431114112,1.998251001752532,2.726376989665118,3540,3249,4624
16,2.311926937610625,2.063070668703992,1.9999867938086047,2.7277260078674193,3658,3249,4624
17,2.3111290930228185,2.0778336110665157,1.9852789863914206,2.71848984686293,3540,3249,4624
18,2.306573729420667,2.066686699717168,1.9878228297267235,2.7200214217827603,3658,3249,4624
19,2.311310395578578,2.07175760509416,1.99242048257821,2.7244918343695126,3658,3249,4624
20,2.305778582798017,2.072758676893756,1.9823464252340581,2.7169876398293993,3658,3249,4624
