epoch,lr,loss,content,structure,ssim,rmi,intensity,grad,sec
1,0.001,12.72204641488582,2.923499055272543,4.899273679806636,4.779836407074561,2.3856046068638297,0.5378944484087137,0.11943725467874454,40.77354431152344
2,0.0008,8.683640073068783,2.4090581409642335,3.1372909660522756,3.1103895971408257,2.2338564047169234,0.17520173624731028,0.026901357502748188,39.887441873550415
3,0.00064,5.288791348906624,1.8328101631035785,1.7279905929015233,1.7132919476582453,1.771730372216227,0.06107979088735122,0.014698649935710888,39.990642786026
4,0.0005120000000000001,4.93221075863025,1.7666279229559656,1.582791417837143,1.5684936459247882,1.7147860496385816,0.0518418733173838,0.014297781207670387,39.96997427940369
5,0.0004096000000000001,4.5441457491926025,1.765813176475668,1.3891662863584666,1.3750781393968141,1.7146034821996057,0.05120969427606234,0.01408814642435083,40.002121686935425
6,0.0003276800000000001,4.466942287582652,1.799062431032877,1.3339399282748883,1.3199759813455434,1.7482025206685425,0.0508599103643344,0.013963953376962589,40.45439267158508
7,0.0002621440000000001,4.375414286089631,1.7751976727235763,1.3001083066830268,1.286255066211407,1.7253362571476734,0.04986141557590319,0.01385323300312918,39.985682010650635
8,0.00020971520000000012,4.348780149958398,1.7676040477969908,1.2905880510807037,1.2768058662231152,1.7186361918145079,0.04896785598248243,0.013782181418859042,39.94747042655945
9,0.0001677721600000001,4.275167430231148,1.7654179305800453,1.254874749825551,1.2411584647802205,1.7161702889621833,0.049247641617862076,0.013716286907975491,40.12786102294922
10,0.00013421772800000008,4.3350270932564126,1.7847194709337408,1.2751538111613347,1.2615523452942188,1.73488114563843,0.04983832529531075,0.013601474911690904,39.964930295944214
11,0.00010737418240000007,4.251632437980204,1.7830224401208359,1.234304998929684,1.220717994066385,1.7336362134771,0.04938622664373655,0.013587012475069899,40.03309178352356
12,8.589934592000007e-05,4.2351801766555806,1.7605874313514738,1.2372963726520538,1.2237415130321796,1.711532857989784,0.04905457336169023,0.013554855679663328,40.01650905609131
13,6.871947673600006e-05,4.2361167378924645,1.7749450970928677,1.230585820399798,1.2170619987524474,1.7253613380056583,0.049583759087209515,0.013523825695021795,40.02807593345642
14,5.497558138880005e-05,4.189505164079104,1.7757131201547711,1.2068960219621658,1.193316658337911,1.7248825457590151,0.050830574395755924,0.01357937619710962,18.712557315826416
