epoch,lr,loss,content,structure,ssim,rmi,intensity,grad,aux,sec
1,0.001,2.1599923004066843,1.9076107542675955,0.07988188548932249,0.04600826287880922,1.9036014444962912,0.004009309771304268,0.033873622526230676,9.261777736842182,298.45596647262573
2,0.0008,2.0555675645221516,1.831490264543214,0.06651280723725689,0.033829615126907554,1.828205113614361,0.003285150928853001,0.03268319194459358,9.105168771240326,297.45854210853577
3,0.00064,2.013685003411262,1.7931595274141596,0.06503308200885627,0.03164823814035361,1.7895185648571725,0.0036409625569871185,0.033384843787029495,9.045931398958462,297.6047456264496
4,0.0005120000000000001,1.9997936299951422,1.7866161612775502,0.061421627229357734,0.028203292669753684,1.7830089868326369,0.0036071744449134653,0.03321833464669606,9.033421642999663,297.9454560279846
5,0.0004096000000000001,1.9999211813235647,1.7913733711607598,0.0591745596508275,0.02619473894616957,1.788114623098498,0.003258748062261904,0.03297982074118038,9.019869299495921,297.8891906738281
6,0.0003276800000000001,1.980215499793179,1.7733247160667729,0.058371938194736815,0.02553714400502891,1.7700999575812002,0.0032247584855723366,0.0328347941897079,9.014690941455317,298.20990443229675
7,0.0002621440000000001,1.9714353291669569,1.7665172778682983,0.057386018257155495,0.02460161826909038,1.763471758080917,0.0030455197873813285,0.03278440007796654,9.014601691635844,297.8782856464386
8,0.00020971520000000012,1.9794612417553459,1.7764743654956041,0.05644332630444616,0.02380085171257928,1.7733104653336902,0.0031639001619135384,0.032642474544106743,9.010022563272651,298.2030074596405
9,0.0001677721600000001,1.973644379082624,1.7717545310129406,0.05590389248371394,0.023408929686740514,1.7685887899752797,0.003165741037660971,0.0324949627211191,9.008206511334956,298.2109830379486
10,0.00013421772800000008,1.9623312759066858,1.7599297995072039,0.0561649644885038,0.02361450278021811,1.7568782183110137,0.003051581196190205,0.03255046166052556,9.0071549581007,298.35136795043945
11,0.00010737418240000007,1.9520059883153036,1.7520688739890007,0.054944816948691466,0.02239533876761412,1.7490206133882447,0.003048260600755952,0.03254947821198096,9.004748265308132,298.8157618045807
12,8.589934592000007e-05,1.9503648140324854,1.748565264504876,0.05587857491076892,0.02334001934546331,1.7455701176856326,0.0029951468192435642,0.0325385555933998,9.004240189921981,298.4171099662781
13,6.871947673600006e-05,1.954408208875079,1.7556942377276825,0.054335840560529564,0.021898651554573715,1.752853872616656,0.0028403651110264633,0.032437188958195716,9.004229211879172,298.3180048465729
14,5.497558138880005e-05,1.9478284333420863,1.7462726892757225,0.055762157650442505,0.023255259023352806,1.7430606430898314,0.0032120461858911537,0.03250689871137229,9.003143080399227,298.43112301826477
15,4.3980465111040044e-05,1.9537588947138478,1.7536686969995963,0.05503056093567187,0.02252374946801371,1.7505928492521743,0.0030758477474224287,0.03250681144799222,9.002907791828138,298.6199481487274
16,3.5184372088832036e-05,1.9451037878083879,1.7441297251669712,0.055473550915336,0.023055656643115197,1.740957065418318,0.003172659748653512,0.032417894280649055,9.00269628901647,298.8225848674774
17,2.814749767106563e-05,1.95114713608163,1.749879254990267,0.05561938746460063,0.023068636251251082,1.7467648589366627,0.00311439605360411,0.032550751230206065,9.00291081826971,298.4846439361572
18,2.2517998136852506e-05,1.94295653264249,1.741344036076535,0.05579514420825881,0.023293704288937206,1.7383219826331135,0.0030220534434214764,0.03250143989684625,9.002221028369656,298.68000316619873
19,1.8014398509482006e-05,1.9469619563082998,1.744768801597893,0.05608735286081449,0.023676189541996514,1.7416010649862121,0.0031677366116805478,0.03241116325982016,9.001845099447719,298.7668762207031
20,1.4411518807585605e-05,1.9513033608080326,1.7484464862342093,0.05641716429303494,0.023670662042781777,1.745108145655996,0.003338340578213064,0.03274650224744374,9.002254796783308,298.79594802856445
