method,EN,MI,SD,SF,AG,SSIM,MS_SSIM,Qabf,VIF,SSIM_hm,MS_SSIM_hm,Qabf_hm,VIF_hm,MI_hm,Nabf,SCD,CC,PSNR,Balance,MI_A,MI_B,SSIM_A,SSIM_B,FuncCorr,FuncSal
Avg,5.484720925961914,3.2267906002181643,14.777411295926347,4.647810998726152,2.209487197110744,0.498787326497308,0.7321205355705421,0.36671495366983037,0.07113201873686786,0.34260265432330056,0.7175087917583749,0.2798336935584223,0.024769419583308732,0.6153095836430501,0.0013953641625519674,1.382692748887655,0.6674947236010897,57.158773853375024,0.30789516768913044,0.35767559340236865,2.8691150068157953,0.23800427175319133,0.7595703812414245,0.7322226664007702,1.4476138226851005
MDFNet,6.021408937441511,1.4007456150465838,16.85377822757557,17.75207440126577,11.494822832288467,0.29061123568903696,0.6825056625865512,0.26589870746898253,0.024101140796028885,0.18568089231132764,0.6450892266632504,0.1581932899281183,0.009843016578998044,0.29541796781637447,0.10567470265633587,1.0022308860095075,0.5133574175015012,26.51516067863572,0.2838371775968127,0.17383718168417986,1.2269084333624038,0.13227476499619342,0.4489477063818804,0.5094469391080424,0.6962511273400319
Max,6.450360738844731,6.554446301288377,23.81955463980147,7.168022380136293,3.418164445711008,0.5511568398065919,0.6623534971183397,0.736615736278173,0.4472177408948782,0.19276110877544111,0.47510556266567455,0.18577489936521316,0.014112637808929455,0.45190664682541254,0.0005949345550147585,1.2954102060804036,0.5163013211534816,13.987864412487745,0.11363570361579794,0.23677854571711426,6.317667755571263,0.11242295500290547,0.9898907246102785,0.24887836150303314,0.13473730547617283
Retrained_LRD,5.271195258367346,2.3089568972524495,25.02193025706788,11.059058430094774,3.086777725527535,0.3468406556110453,0.6075334357923431,0.299616664350457,0.032568495287337434,0.2848490559012348,0.5713143862233935,0.1750577465361855,0.016537673730040826,0.652577629631843,0.11121833528848213,1.1626786662154343,0.503412699487707,15.904296551994074,0.581542790720546,0.5936261227855394,1.71533077446691,0.42977954814390074,0.26390176307818985,0.6404966327089759,0.8533891993614979
