phase,epoch,loss
1,1,2.0710642897044154
1,2,2.0021885343016126
1,3,1.9846179542259603
1,4,1.959089574963526
1,5,1.960194057628966
1,6,1.9383914318406894
1,7,1.9316049178218402
1,8,1.9189428882354185
1,9,1.9173773545132906
1,10,1.9151089150723333
1,11,1.916472233724765
1,12,1.913859099125877
1,13,1.8979016485888145
1,14,1.9045488002210085
1,15,1.8971315261281496
1,16,1.8944031432638986
1,17,1.8863499212807817
1,18,1.8791325029373174
2,19,2.132157964484295
2,20,2.032679865102763
2,21,2.009485485571117
2,22,2.0018793346795443
2,23,2.0015725505923276
2,24,1.9889098309534405
2,25,2.0076283716005925
2,26,1.9957459558196178
