epoch,lr,loss,content,structure,ssim,rmi,intensity,grad,aux,sec
1,0.001,10.50741137653296,2.905117978448003,3.7549135764199804,3.723185367094426,2.8241814940940433,0.0809364843539601,0.031728215926408405,9.2466247276237,202.34208345413208
2,0.0008,9.76608544452792,2.9126555894187574,3.3814197955174747,3.361468483674202,2.8377593198142383,0.0748962696045187,0.019951315824606446,9.059026614416762,199.23809385299683
3,0.00064,9.671608779211915,2.906291326393673,3.337374901843575,3.3173485450514133,2.8317013555709822,0.07458997082269084,0.020026349473823413,9.056765121275564,199.0826117992401
4,0.0005120000000000001,9.664122325772965,2.9062173150875035,3.3336223115373596,3.3135268111963647,2.8315631511090724,0.07465416397843117,0.02009550111756584,9.066038958615767,199.10596990585327
5,0.0004096000000000001,9.646591817180244,2.9131265528117987,3.321366555741186,3.3012473727281,2.8392529739512087,0.07387357886059047,0.020119188812046433,9.073215501906288,199.08693718910217
6,0.0003276800000000001,9.595809850537552,2.9075097974465196,3.2986766845438056,3.2785221205017,2.8331514638803017,0.07435833356621763,0.02015456437974538,9.094668595812472,199.20591115951538
