,SSIM_hm,MS_SSIM_hm,Qabf_hm,VIF_hm,MI_hm,EN,SD,SF,AG,AvgRank,value::SSIM_hm,value::MS_SSIM_hm,value::Qabf_hm,value::VIF_hm,value::MI_hm,value::EN,value::SD,value::SF,value::AG
MDFNet-a2,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.8888888888888888,0.12329391815719967,0.4589103813497481,0.10151756353144618,0.009495920660244801,0.32141218892815215,6.117068967609816,26.86951136791667,14.336111207180814,5.720139204195158
Retrained,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.10260285033160406,0.44931499031334154,0.06377973882357973,0.008369661980972281,0.2518197998870695,6.405118674314065,21.520524785274805,20.607096902076826,12.896717653395164
MDFNet,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.111111111111111,0.17367768260885533,0.6351439782445062,0.12001167786198152,0.008237070328361542,0.24172995467430447,6.001147545624703,16.461084954634547,17.878273769969933,11.597042136891345
