method,EN,MI,SD,SF,AG,SSIM,MS_SSIM,Qabf,VIF,SSIM_hm,MS_SSIM_hm,Qabf_hm,VIF_hm,MI_hm,Nabf,SCD,CC,PSNR,Balance,MI_A,MI_B,SSIM_A,SSIM_B
Avg,5.484720925961914,3.2267906002181643,14.777411295926347,4.647810998726152,2.209487197110744,0.498787326497308,0.7321205355705421,0.36671495366983037,0.07113201873686786,0.34260265432330056,0.7175087917583749,0.2798336935584223,0.024769419583308732,0.6153095836430501,0.0013953641625519674,1.382692748887655,0.6674947236010897,57.158773853375024,0.30789516768913044,0.35767559340236865,2.8691150068157953,0.23800427175319133,0.7595703812414245
MDFNet,6.001147545624703,1.393067715487227,16.461084954634547,17.878273769969933,11.597042136891345,0.2865252643440872,0.6793199097214657,0.2623271905023823,0.024398978786816385,0.17367768260885533,0.6351439782445062,0.12001167786198152,0.008237070328361542,0.24172995467430447,0.10438747458293043,0.9211738919313386,0.4919684893905702,25.980539565800367,0.27547896327622545,0.1356728930250039,1.2573948224622233,0.12030746437507504,0.4527430643130994
MDFNet-a2,6.117068967609816,1.9588884684785388,26.86951136791667,14.336111207180814,5.720139204195158,0.37897018180230907,0.5640710588726419,0.26605498027823565,0.027950852616024528,0.12329391815719967,0.4589103813497481,0.10151756353144618,0.009495920660244801,0.32141218892815215,0.2843060967890124,0.8928267467683084,0.43933552316326757,6.632472922630211,0.09832381004092877,0.18542053247650916,1.77346793600203,0.07093348791402805,0.68700687569059
Max,6.450360738844731,6.554446301288377,23.81955463980147,7.168022380136293,3.418164445711008,0.5511568398065919,0.6623534971183397,0.736615736278173,0.4472177408948782,0.19276110877544111,0.47510556266567455,0.18577489936521316,0.014112637808929455,0.45190664682541254,0.0005949345550147585,1.2954102060804036,0.5163013211534816,13.987864412487745,0.11363570361579794,0.23677854571711426,6.317667755571263,0.11242295500290547,0.9898907246102785
Retrained,6.405118674314065,1.3767415874788602,21.520524785274805,20.607096902076826,12.896717653395164,0.2709657373591642,0.6274856490255406,0.13811783354343693,0.025258129990909046,0.10260285033160406,0.44931499031334154,0.06377973882357973,0.008369661980972281,0.2518197998870695,0.4939086814386808,0.7473066343324466,0.4109824320466473,16.77790611404166,0.13179567247231253,0.14282210282208752,1.2339194846567727,0.06121283743550306,0.4807186372828253
