epoch,lr,loss,content,structure,ssim,rmi,intensity,grad,aux,sec
1,0.001,6.824910231814812,3.109439742896938,1.8115121068638014,1.797540227931729,3.056222709635513,0.053217033261424816,0.013971880843882557,9.244627735373841,287.117928981781
2,0.0008,6.119139460948717,2.7730561886046914,1.6272232895702978,1.6171632314699267,2.735386357518489,0.03766983108620298,0.010060058398871806,9.16366953439842,286.36831498146057
3,0.00064,5.9617977164333364,2.737957298730517,1.5664301914686891,1.5568263430041605,2.7005220199985858,0.03743527873193067,0.009603849048887803,9.098003682327846,286.274240732193
4,0.0005120000000000001,5.832875516281072,2.712650553300839,1.5148175199646756,1.5057458667194141,2.6752869789060028,0.037363574394835425,0.009071653492490271,9.058992511007041,286.8962049484253
5,0.0004096000000000001,5.824111759138698,2.7078310840245083,1.5128687084350472,1.5040133364419952,2.6706545562251858,0.037176527799322054,0.008855370454894741,9.054326009966129,286.8869295120239
6,0.0003276800000000001,5.759215700928319,2.688150226902068,1.4903368780875457,1.4816960865915452,2.650784314786431,0.037365912115636814,0.008640792101430587,9.039171985551423,286.76404762268066
7,0.0002621440000000001,5.710469069502956,2.6581108701818223,1.4810555481083612,1.4726078672106988,2.6211543053340542,0.036956564847767624,0.008447681231983287,9.024710520000658,287.2364807128906
8,0.00020971520000000012,5.70815528787311,2.6566631413997137,1.4806411536031179,1.4722326990346204,2.6195328365781934,0.03713030482152109,0.00840845380082367,9.020984131825996,287.45364928245544
9,0.0001677721600000001,5.695670084075759,2.6564510211261942,1.4745215458028458,1.4662572084329066,2.619241956023332,0.037209065102861115,0.008264339861894085,9.017597340890186,287.45738697052
10,0.00013421772800000008,5.6655922240741,2.6410431487153305,1.4672060643925386,1.4590288844763064,2.6041827154922204,0.036860433223110875,0.008177181837172845,9.01369485380423,287.76211762428284
11,0.00010737418240000007,5.668396181546286,2.639554331652188,1.4693621679308908,1.4611770313789403,2.602470392113996,0.037083939538192605,0.008185136894699675,9.011751616522558,287.46854734420776
12,8.589934592000007e-05,5.646007212718972,2.6214097948354973,1.4672555651959611,1.459125935042426,2.5845054773302563,0.03690431750524188,0.00812963179774796,9.008628964603936,287.8189797401428
13,6.871947673600006e-05,5.644147913854103,2.6325225814586903,1.4607778623992322,1.4527360657581196,2.5955538076827533,0.03696877377593769,0.008041796601780579,9.00696097240189,287.80610394477844
14,5.497558138880005e-05,5.648812707767009,2.6342259769644314,1.4622613855077131,1.4542312057489364,2.59730500782735,0.03692096913708191,0.008030177520371716,9.006396195827387,287.49587893486023
