epoch,lr,loss,content,structure,ssim,rmi,intensity,grad,aux,sec
1,0.001,2.212984939224346,1.9541982273333685,0.06777991130280955,0.048953637101535635,1.9505465279525704,0.003651699380798052,0.018826274095501656,12.322689191223201,598.3576967716217
2,0.0008,2.10245097522552,1.8785226185752468,0.051530348930532474,0.033034939905251116,1.8751038723879276,0.003418746187319166,0.018495409030548027,12.086766146804566,594.4792492389679
3,0.00064,2.0771659845573236,1.8621060357232506,0.04727988911337947,0.02924079483798042,1.8588971903970721,0.0032088453261786064,0.018039094285054603,12.050017307436095,595.1552846431732
4,0.0005120000000000001,2.0609357953395153,1.8480100996104694,0.04626669820914226,0.028306371642102843,1.844681969278917,0.003328130331552481,0.01796032656440608,12.039230183988781,594.6438896656036
5,0.0004096000000000001,2.0579024818425458,1.8475810477001653,0.04503457294118702,0.02712211588662711,1.8444037302378495,0.0031773174623157792,0.017912457052804354,12.02522909360377,594.7275967597961
6,0.0003276800000000001,2.0528014928305542,1.843071581337904,0.0447723457386101,0.02694230311103411,1.839842197323556,0.003229384014348286,0.017830042652153776,12.018522272460535,594.7950465679169
7,0.0002621440000000001,2.0323272097208998,1.8239072725930916,0.0441419911341747,0.026283481905305307,1.820777492030554,0.0031297805625374775,0.017858509241158282,12.013595750936352,594.9275522232056
8,0.00020971520000000012,2.0274483793283506,1.8201681174368631,0.04358536419945854,0.025730474392947556,1.817065248543733,0.003102868893130004,0.017854889765255413,12.010953623657514,595.032053232193
9,0.0001677721600000001,2.019309279677357,1.8110124436175736,0.04410686857496282,0.026272479932786832,1.8077833903481793,0.0032290532693943197,0.017834388641298212,12.008310158897638,595.0337154865265
10,0.00013421772800000008,2.022379201333023,1.8133417108929017,0.04448495942460238,0.026606530091540077,1.8099773548465703,0.00336435604633142,0.017878429289173395,12.006757441384964,595.3122482299805
11,0.00010737418240000007,2.0160082047996504,1.8056751932538007,0.04513549603500757,0.02736281685734784,1.802277648791835,0.0033975444619656204,0.017772679200481964,12.006202215973103,595.1734263896942
12,8.589934592000007e-05,2.011697437503508,1.8003818117393637,0.04563090038414725,0.02775393321084931,1.7969048907984975,0.0034769209408661893,0.017876967248786856,12.005382765249527,594.5266151428223
13,6.871947673600006e-05,2.011510043963404,1.8051544343685428,0.043156031585007935,0.0253526902670685,1.8019604794978197,0.0031939548707231842,0.017803341283706087,12.004354908374207,594.7184402942657
14,5.497558138880005e-05,2.0034974161761245,1.7999611261502773,0.04175042523585548,0.02402215291597616,1.796836140530982,0.003124985619295392,0.017728272319879317,12.003544221387283,594.9124946594238
15,4.3980465111040044e-05,1.9969374984408277,1.7910778464147588,0.04291560135528965,0.025231250494184863,1.787897251079637,0.0031805953351220313,0.017684350890071462,12.002845197887941,594.8377556800842
16,3.5184372088832036e-05,2.0076008673673384,1.7985239405968299,0.044525039127723265,0.026779276149436957,1.7950858160296992,0.003438124567130712,0.017745762956341858,12.002685120822573,594.336275100708
17,2.814749767106563e-05,1.9976715620718029,1.7884633298624781,0.044589092868970996,0.026804059884325722,1.78501196742366,0.003451362438818122,0.01778503288282301,12.003004919010777,594.2887721061707
18,2.2517998136852506e-05,1.9986666073695474,1.7918110195625725,0.04341592809534742,0.02571975937662655,1.7884949956950564,0.0033160238675160893,0.017696168732765315,12.002373427517789,594.4084749221802
19,1.8014398509482006e-05,1.9957912533188098,1.7890180599518077,0.04337558886132832,0.025697222753699157,1.7857773590145618,0.0032407009372460013,0.01767836609665694,12.002201824565747,594.2796170711517
20,1.4411518807585605e-05,2.00188989310137,1.7923816081363328,0.04474242166927634,0.026979626741867713,1.7888272143856903,0.003554393750642629,0.01776279491687529,12.002344434380419,594.2535741329193
